AUX_IN1,MULT_IN1 - 1,MULT_IN1 - 2,MULT_IN1 - 3,MULT_IN1 - 4,MULT_IN1 - 5,MULT_IN1 - 6,MULT_IN1 - 7,MULT_IN1 - 8,MULT_IN1 - 9,MULT_IN1 - 10,MULT_IN1 - 11,MULT_IN1 - 12,MULT_IN1 - 13,MULT_IN1 - 14,MULT_IN1 - 15,MULT_IN1 - 16,MULT_IN1 - 17,MULT_IN1 - 18,MULT_IN1 - 19,MULT_IN1 - 20,MULT_IN1 - 21,MULT_IN1 - 22,MULT_IN1 - 23,MULT_IN1 - 24,MULT_IN1 - 25,MULT_IN1 - 26,MULT_IN1 - 27,MULT_IN1 - 28,MULT_IN1 - 29,MULT_IN1 - 30,MULT_IN1 - 31,MULT_IN1 - 32,MULT_IN1 - 33,MULT_IN1 - 34,MULT_IN1 - 35,MULT_IN1 - 36,MULT_IN1 - 37,MULT_IN1 - 38,MULT_IN1 - 39,MULT_IN1 - 40,MULT_IN1 - 41,MULT_IN1 - 42,MULT_IN1 - 43,MULT_IN1 - 44,MULT_IN1 - 45,MULT_IN1 - 46,MULT_IN1 - 47,MULT_IN1 - 48,MULT_IN1 - 49,MULT_IN1 - 50,MULT_IN1 - 51,MULT_IN1 - 52,MULT_IN1 - 53,MULT_IN1 - 54,MULT_IN1 - 55,MULT_IN1 - 56,MULT_IN1 - 57,MULT_IN1 - 58,MULT_IN1 - 59,MULT_IN1 - 60,MULT_IN1 - 61,MULT_IN1 - 62,MULT_IN1 - 63,MULT_IN1 - 64
-1.85185,0.017732,0.016016000000000002,0.01144,0.019448,-0.052338,-0.12412400000000001,0.01716,0.016588000000000002,0.038324000000000004,0.00858,0.00858,0.009152,0.00858,0.00858,0.00858,-0.12412400000000001,0.00858,0.0065780000000000005,0.014014,0.012870000000000001,0.014014,0.012012,0.014586,0.011726,0.00286,-0.00715,-0.001144,-0.000572,-0.001144,-0.000858,-0.000858,-0.000858,-0.013156000000000001,-0.013156000000000001,-0.013156000000000001,-0.012870000000000001,-0.013728,-0.010582000000000001,-0.013156000000000001,-0.030602,-0.053196,-0.003718,0.00143,-0.003432,-0.002288,-0.00429,-0.000858,-0.004004000000000001,0.021164000000000002,0.0143,-0.019162000000000002,0.02002,0.018876,0.020306,0.020592,0.019734,0.000286,0.0020020000000000003,0.000286,-0.036894,0.000572,0.006292000000000001,0.0,0.0020020000000000003
-1.851564,0.018018,0.016302,0.01144,0.019448,-0.059202000000000005,-0.122408,0.017446,0.016874,0.05863,0.00858,0.008866,0.009152,0.00858,0.009152,0.00858,-0.11697400000000001,0.008866,0.006864,0.014014,0.012870000000000001,0.0143,0.012298,0.014872,0.012012,0.002574,-0.006864,-0.001144,-0.000286,-0.001144,-0.000858,-0.000572,-0.000572,-0.013156000000000001,-0.012870000000000001,-0.013156000000000001,-0.012870000000000001,-0.013728,-0.010582000000000001,-0.012870000000000001,-0.034892,-0.047762,-0.0031460000000000004,0.000858,-0.003432,-0.0020020000000000003,-0.003718,-0.001716,-0.003432,0.02145,0.0143,-0.016588000000000002,0.020306,0.02145,0.020592,0.021164000000000002,0.02002,0.000572,0.0020020000000000003,0.000572,-0.036322,0.000572,0.006864,0.000286,0.002288
-1.851564,0.018304,0.016588000000000002,0.01144,0.02002,-0.064636,-0.12212200000000001,0.017732,0.017446,0.06149,0.00858,0.009152,0.009438,0.008866,0.009152,0.008866,-0.118976,0.008866,0.006864,0.0143,0.013156000000000001,0.014586,0.012298,0.014872,0.012012,0.00286,-0.0065780000000000005,-0.001144,-0.000286,-0.000858,-0.000572,-0.000286,-0.000286,-0.012584000000000001,-0.012870000000000001,-0.012870000000000001,-0.012584000000000001,-0.013442,-0.010582000000000001,-0.012584000000000001,-0.042614,-0.048334,-0.0031460000000000004,0.00143,-0.0031460000000000004,-0.001716,-0.0031460000000000004,-0.0020020000000000003,-0.0031460000000000004,0.022022,0.014586,-0.018018,0.020592,0.024024,0.020878,0.021164000000000002,0.020306,0.000858,0.002288,0.000858,-0.040612,0.000858,0.006864,0.000572,0.002288
-1.851564,0.018304,0.01716,0.011726,0.020306,-0.06578,-0.10868,0.018018,0.017446,0.062062000000000006,0.008866,0.009152,0.009724,0.008866,0.009152,0.008866,-0.106964,0.008866,0.006864,0.0143,0.013156000000000001,0.014586,0.012584000000000001,0.015158000000000001,0.012298,0.0031460000000000004,-0.0065780000000000005,-0.000858,0.0,-0.000858,-0.000572,-0.000286,-0.000572,-0.012298,-0.012870000000000001,-0.012584000000000001,-0.012584000000000001,-0.013156000000000001,-0.010296,-0.012870000000000001,-0.038324000000000004,-0.056342,-0.0031460000000000004,0.0020020000000000003,-0.0031460000000000004,-0.001716,-0.002574,-0.002288,-0.0031460000000000004,0.022022,0.014586,-0.017446,0.020878,0.023166000000000003,0.020592,0.021164000000000002,0.020306,0.000858,0.002288,0.000572,-0.036608,0.000858,0.00715,0.000572,0.002574
-1.851278,0.018304,0.01716,0.011726,0.020592,-0.052338,-0.092378,0.017732,0.017446,0.059774,0.008866,0.009152,0.01001,0.009438,0.009152,0.008866,-0.169884,0.008866,0.006864,0.0143,0.013156000000000001,0.0143,0.012298,0.014872,0.012298,0.0031460000000000004,-0.0065780000000000005,-0.000858,-0.000286,-0.000858,-0.000572,-0.000572,-0.000572,-0.012584000000000001,-0.012870000000000001,-0.012584000000000001,-0.012870000000000001,-0.012870000000000001,-0.010582000000000001,-0.013156000000000001,-0.026026,-0.052910000000000006,-0.0031460000000000004,0.0020020000000000003,-0.003432,-0.001716,-0.0031460000000000004,-0.002574,-0.003432,0.021736000000000002,0.014586,-0.016874,0.020592,0.02288,0.020592,0.021164000000000002,0.02002,0.000858,0.0020020000000000003,0.000572,-0.04147,0.000572,0.006864,0.000286,0.001716
-1.851564,0.018018,0.01716,0.01144,0.020306,-0.025168000000000003,-0.076362,0.017732,0.017446,0.058344,0.009152,0.008866,0.009724,0.009152,0.008866,0.00858,-0.207922,0.008866,0.006864,0.014014,0.012870000000000001,0.014014,0.012298,0.014872,0.012012,0.002574,-0.006864,-0.001144,-0.000286,-0.001144,-0.000858,-0.000858,-0.000858,-0.012870000000000001,-0.013156000000000001,-0.012870000000000001,-0.012870000000000001,-0.013156000000000001,-0.010868000000000001,-0.013442,-0.024882,-0.046046000000000004,-0.003432,0.0020020000000000003,-0.003432,-0.0020020000000000003,-0.003432,-0.002574,-0.004004000000000001,0.02145,0.0143,-0.021736000000000002,0.020878,0.022594,0.020306,0.021164000000000002,0.02002,0.000572,0.001716,0.000286,-0.043758000000000005,0.000286,0.0065780000000000005,0.0,0.0020020000000000003
-1.851564,0.018304,0.01716,0.01144,0.020878,-0.000858,-0.063206,0.017732,0.017732,0.056914,0.009152,0.008866,0.01001,0.009438,0.009152,0.00858,-0.16159,0.008866,0.006864,0.0143,0.012870000000000001,0.0143,0.012298,0.014872,0.012012,0.002574,-0.006864,-0.001144,-0.000572,-0.001144,-0.000858,-0.000572,-0.000572,-0.013156000000000001,-0.012870000000000001,-0.012870000000000001,-0.012584000000000001,-0.013156000000000001,-0.010582000000000001,-0.012870000000000001,-0.030888000000000002,-0.043472000000000004,-0.0031460000000000004,0.00286,-0.003432,-0.0020020000000000003,-0.003432,-0.002288,-0.003432,0.02145,0.0143,-0.025168000000000003,0.020878,0.02145,0.020592,0.02145,0.020306,0.000572,0.0020020000000000003,0.000572,-0.041756,0.000572,0.006864,0.0,0.0020020000000000003
-1.851564,0.018590000000000002,0.017732,0.012012,0.02145,0.023452,-0.049764,0.018304,0.018018,0.055484000000000006,0.009724,0.009152,0.010582000000000001,0.010296,0.010296,0.009152,-0.057486,0.009438,0.007436,0.014586,0.013728,0.014872,0.012584000000000001,0.015444000000000001,0.012584000000000001,0.0031460000000000004,-0.0065780000000000005,-0.000572,0.0,-0.000572,-0.000572,0.0,0.0,-0.012870000000000001,-0.012298,-0.012584000000000001,-0.012012,-0.012584000000000001,-0.010296,-0.012012,-0.019448,-0.038896,-0.002574,0.0031460000000000004,-0.00286,-0.00143,-0.00286,-0.000858,-0.002574,0.022022,0.015158000000000001,-0.021736000000000002,0.021164000000000002,0.023452,0.021164000000000002,0.022022,0.020592,0.001144,0.00286,0.000858,-0.039754000000000005,0.001144,0.00715,0.000858,0.002574
-1.851564,0.018590000000000002,0.017732,0.012012,0.02145,0.040326,-0.03003,0.018304,0.018304,0.053482,0.009724,0.009438,0.010868000000000001,0.010296,0.010582000000000001,0.009152,0.051766,0.009438,0.007436,0.014586,0.013728,0.014872,0.012584000000000001,0.015444000000000001,0.012584000000000001,0.0031460000000000004,-0.006292000000000001,-0.000572,0.0,-0.000572,-0.000286,0.0,0.0,-0.012298,-0.012584000000000001,-0.012584000000000001,-0.012012,-0.012584000000000001,-0.01001,-0.012298,-0.004862,-0.026312000000000002,-0.002574,0.003432,-0.00286,-0.00143,-0.00286,-0.000572,-0.002574,0.022308,0.015158000000000001,-0.020592,0.020878,0.024024,0.021164000000000002,0.022022,0.020592,0.001144,0.00286,0.000858,-0.035464,0.001144,0.00715,0.000858,0.003432
-1.851564,0.018018,0.017446,0.011726,0.020878,0.056628000000000005,-0.011726,0.017732,0.017732,0.051194,0.009438,0.008866,0.010296,0.009438,0.009152,0.00858,0.135278,0.008866,0.006864,0.014014,0.013156000000000001,0.0143,0.012012,0.014872,0.012298,0.002574,-0.006864,-0.001144,-0.000572,-0.001144,-0.000286,-0.000572,-0.000858,-0.012584000000000001,-0.012870000000000001,-0.012870000000000001,-0.012584000000000001,-0.013156000000000001,-0.010582000000000001,-0.012870000000000001,-0.00858,-0.014586,-0.0031460000000000004,0.002574,-0.003432,-0.0020020000000000003,-0.003432,-0.000858,-0.003432,0.02145,0.0143,-0.028028,0.020306,0.02288,0.020592,0.021164000000000002,0.02002,0.000572,0.0020020000000000003,0.000572,-0.028886000000000002,0.000286,0.0065780000000000005,0.000286,0.002288
